From,To,Element,Threshold,Groups
Pallidum_R_t_0,Cingulum_Post_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Pallidum_R_t_1,Cingulum_Post_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Precentral_R_t_0,Paracentral_Lobule_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Precentral_R_t_1,Paracentral_Lobule_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Precuneus_R_t_0,Angular_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Precuneus_R_t_1,Angular_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Putamen_R_t_0,Insula_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Putamen_R_t_1,Insula_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Rectus_L_t_0,Cingulum_Ant_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Rectus_L_t_1,Cingulum_Ant_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Scan_no_t_0,Lingual_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Scan_no_t_0,Vermis_9_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Scan_no_t_1,Lingual_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Scan_no_t_1,Vermis_9_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,marriage_num_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Occipital_Inf_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Olfactory_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Precentral_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,marriage_num_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Occipital_Inf_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Olfactory_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Precentral_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Supp_Motor_Area_R_t_0,Frontal_Sup_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Supp_Motor_Area_R_t_1,Frontal_Sup_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_0,Caudate_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_0,Olfactory_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_1,Caudate_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_1,Olfactory_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_3_t_1,Cerebelum_9_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_4_5_t_0,Calcarine_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_4_5_t_1,Calcarine_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_7_t_0,Cerebelum_Crus2_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_7_t_1,Cerebelum_Crus2_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_9_t_0,Vermis_1_2_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Vermis_9_t_1,Vermis_1_2_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_0,Cerebelum_Crus1_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_0,marriage_num_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_0,Olfactory_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,Cerebelum_Crus1_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,marriage_num_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,ns1_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,Olfactory_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Amygdala_L_t_0,Cerebelum_4_5_R_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Amygdala_L_t_1,Cerebelum_4_5_R_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Cerebelum_10_L_t_0,Cerebelum_7b_L_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Cerebelum_10_L_t_1,Cerebelum_7b_L_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
ns1_t_0,golden_sumscore_t_0,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
ns1_t_1,golden_sumscore_t_1,Not Shared PDS Encoding,2,PDS Encoding & PDS Retrieval
Amygdala_L_t_1,Cerebelum_10_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Amygdala_R_t_1,Cingulum_Post_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_0,Frontal_Med_Orb_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_0,Hippocampus_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_0,Temporal_Pole_Mid_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_1,Frontal_Med_Orb_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_1,Hippocampus_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
bmi_t_1,Temporal_Pole_Mid_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Caudate_L_t_0,Amygdala_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Caudate_L_t_1,Amygdala_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Caudate_R_t_1,Caudate_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_3_L_t_0,Cerebelum_6_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_3_L_t_1,Cerebelum_6_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_3_R_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_3_R_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_4_5_L_t_0,Vermis_1_2_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_4_5_L_t_1,Vermis_1_2_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_7b_L_t_0,Amygdala_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_7b_L_t_1,Amygdala_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_7b_R_t_0,Vermis_10_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_7b_R_t_1,Vermis_10_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_9_R_t_1,Cingulum_Mid_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_9_R_t_1,Vermis_3_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_Crus1_L_t_0,Olfactory_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_Crus1_L_t_1,Olfactory_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_L_t_0,Vermis_6_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_L_t_1,Vermis_6_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_0,Frontal_Sup_Medial_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_0,Vermis_6_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_1,Frontal_Sup_Medial_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_1,Vermis_6_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cingulum_Mid_R_t_1,Cerebelum_9_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cuneus_L_t_1,Occipital_Sup_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Inf_Orb_L_t_1,Cerebelum_10_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_0,Occipital_Inf_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_1,Occipital_Inf_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_0,Cingulum_Ant_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_1,Cingulum_Ant_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Mid_L_t_0,Supp_Motor_Area_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Mid_L_t_1,Supp_Motor_Area_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Mid_Orb_L_t_1,Calcarine_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Frontal_Sup_L_t_1,Frontal_Med_Orb_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Fusiform_L_t_0,Frontal_Inf_Orb_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Fusiform_L_t_1,Frontal_Inf_Orb_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
golden_sumscore_t_0,Caudate_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
golden_sumscore_t_1,Caudate_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Hippocampus_L_t_0,Cerebelum_9_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Hippocampus_L_t_1,Cerebelum_9_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Supp_Motor_Area_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Supp_Motor_Area_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Lingual_L_t_0,Occipital_Mid_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Lingual_L_t_1,Occipital_Mid_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
marriage_num_t_0,Amygdala_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
marriage_num_t_0,Cerebelum_10_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
marriage_num_t_1,Amygdala_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
marriage_num_t_1,Cerebelum_10_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_0,Temporal_Pole_Mid_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_0,Temporal_Pole_Sup_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_1,Temporal_Pole_Mid_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_1,Temporal_Pole_Sup_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
ns1_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
numbro_t_0,Olfactory_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
numbro_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
numbro_t_1,Olfactory_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
numbro_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
numbro_t_1,wkmnup_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Occipital_Sup_R_t_0,Occipital_Sup_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Occipital_Sup_R_t_1,Occipital_Sup_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_0,Frontal_Mid_Orb_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_1,Frontal_Mid_Orb_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Postcentral_L_t_0,SupraMarginal_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Postcentral_L_t_1,SupraMarginal_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Precentral_R_t_0,Precentral_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Precentral_R_t_1,Precentral_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Putamen_L_t_1,Caudate_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,bmi_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Fusiform_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Rectus_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,bmi_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Fusiform_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Rectus_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
SupraMarginal_L_t_0,Temporal_Sup_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
SupraMarginal_L_t_1,Temporal_Sup_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Mid_R_t_0,Vermis_8_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Mid_R_t_1,Vermis_8_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_L_t_0,Cerebelum_7b_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_L_t_1,Cerebelum_7b_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_0,Fusiform_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_1,Fusiform_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_R_t_0,Frontal_Inf_Orb_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_R_t_1,Frontal_Inf_Orb_R_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Thalamus_L_t_0,Amygdala_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Thalamus_L_t_1,Amygdala_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Vermis_10_t_1,Cerebelum_3_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Vermis_9_t_1,Cerebelum_9_R_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
wkmnup_t_0,Caudate_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
wkmnup_t_1,Caudate_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_0,hopkins_anxiety_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
cigsym_t_1,hopkins_anxiety_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,cigsym_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,cigsym_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Olfactory_L_t_0,Temporal_Pole_Mid_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Olfactory_L_t_1,Temporal_Pole_Mid_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_0,Parietal_Inf_L_t_0,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_1,Parietal_Inf_L_t_1,Not Shared PDS Retrieval,2,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_L_t_0,Cerebelum_8_L_t_0,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_L_t_1,Cerebelum_8_L_t_1,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cingulum_Ant_R_t_0,Caudate_R_t_0,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cingulum_Ant_R_t_1,Caudate_R_t_1,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Rolandic_Oper_R_t_0,Caudate_R_t_0,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Rolandic_Oper_R_t_1,Caudate_R_t_1,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
wkmnup_t_0,Cerebelum_Crus2_L_t_0,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
wkmnup_t_0,Rectus_L_t_0,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
wkmnup_t_1,Cerebelum_Crus2_L_t_1,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
wkmnup_t_1,Rectus_L_t_1,Shared PDS Encoding & PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cerebelum_10_L_t_0,Frontal_Inf_Orb_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Cerebelum_10_L_t_1,Frontal_Inf_Orb_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Cerebelum_8_R_t_1,Cerebelum_10_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Cerebelum_9_R_t_0,Vermis_10_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Cerebelum_9_R_t_1,Vermis_10_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Inf_Oper_R_t_0,Caudate_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Inf_Oper_R_t_1,Caudate_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_L_t_0,Amygdala_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_L_t_1,Amygdala_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_0,Cerebelum_Crus1_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_L_t_1,Cerebelum_Crus1_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Mid_L_t_0,Hippocampus_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Frontal_Mid_L_t_1,Hippocampus_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Amygdala_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Amygdala_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Insula_R_t_0,Rolandic_Oper_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Insula_R_t_1,Cingulum_Post_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Insula_R_t_1,Rolandic_Oper_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
marriage_num_t_0,Temporal_Pole_Sup_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
marriage_num_t_1,Temporal_Pole_Sup_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
ns1_t_0,Cerebelum_Crus1_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
ns1_t_1,Cerebelum_Crus1_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_0,Cerebelum_Crus1_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_0,Hippocampus_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_0,ParaHippocampal_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_1,Cerebelum_Crus1_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_1,Hippocampus_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
numbro_t_1,ParaHippocampal_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Pallidum_L_t_0,Cerebelum_10_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Pallidum_L_t_1,Cerebelum_10_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Putamen_R_t_0,Amygdala_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Putamen_R_t_1,Amygdala_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Rectus_L_t_0,Amygdala_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Rectus_L_t_1,Amygdala_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Scan_no_t_0,Rectus_L_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Scan_no_t_1,Rectus_L_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_R_t_0,Cerebelum_3_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_R_t_1,Cerebelum_3_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_10_t_0,Cerebelum_7b_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_10_t_1,Cerebelum_7b_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_7_t_0,Cerebelum_Crus2_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_7_t_0,Occipital_Mid_R_t_0,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_7_t_1,Cerebelum_Crus2_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
Vermis_7_t_1,Occipital_Mid_R_t_1,Not Shared PDS Encoding,3,PDS Encoding & PDS Retrieval
bmi_t_0,Rectus_L_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
bmi_t_1,Rectus_L_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Calcarine_R_t_0,Occipital_Inf_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Calcarine_R_t_1,Occipital_Inf_R_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_0,Amygdala_L_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_1,Amygdala_L_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
cigsym_t_0,Cerebelum_10_L_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
cigsym_t_0,Frontal_Inf_Oper_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
cigsym_t_1,Cerebelum_10_L_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
cigsym_t_1,Frontal_Inf_Oper_R_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cingulum_Mid_L_t_1,Cerebelum_9_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cingulum_Post_R_t_0,Insula_L_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cingulum_Post_R_t_1,Insula_L_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cuneus_R_t_0,Occipital_Mid_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Cuneus_R_t_1,Occipital_Mid_R_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_0,Frontal_Sup_Medial_L_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_1,Frontal_Sup_Medial_L_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
golden_sumscore_t_0,Precentral_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
golden_sumscore_t_1,Precentral_R_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Olfactory_R_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_0,Vermis_8_t_0,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
hopkins_anxiety_t_1,Olfactory_R_t_1,Not Shared PDS Retrieval,3,PDS Encoding & PDS Retrieval
